15.03.2019 9:00:13: Каталог пользователей C:\Users 
15.03.2019 9:00:18: mon init 
15.03.2019 9:21:29: Не смог открыть ключ: SOFTWARE\Microsoft\Windows\CurrentVersion\RunOnceEx Операция успешно завершена 
15.03.2019 9:21:29: Не смог открыть ключ: SOFTWARE\Microsoft\Windows\CurrentVersion\RunOnceEx Операция успешно завершена 
15.03.2019 9:21:29: Лишний файл в каталоге АЗ, пропущен C:\Users\Геннадий\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\Startup\desktop.ini 18 
15.03.2019 9:21:29: Лишний файл в каталоге АЗ, пропущен C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Startup\desktop.ini 18 
15.03.2019 9:24:56: Step 0: NtQueryInformationProcess(ProcHND, 0, @PBI, SizeOf(PBI), nil) is fail 784 
15.03.2019 9:24:56: Step 0: NtQueryInformationProcess(ProcHND, 0, @PBI, SizeOf(PBI), nil) is fail 784 
15.03.2019 9:24:56: Step 0: NtQueryInformationProcess(ProcHND, 0, @PBI, SizeOf(PBI), nil) is fail 784 
15.03.2019 9:24:56: Step 0: NtQueryInformationProcess(ProcHND, 0, @PBI, SizeOf(PBI), nil) is fail 784 
15.03.2019 9:24:56: Step 0: NtQueryInformationProcess(ProcHND, 0, @PBI, SizeOf(PBI), nil) is fail 784 
15.03.2019 9:24:56: Step 0: NtQueryInformationProcess(ProcHND, 0, @PBI, SizeOf(PBI), nil) is fail 784 
15.03.2019 9:24:56: Step 0: NtQueryInformationProcess(ProcHND, 0, @PBI, SizeOf(PBI), nil) is fail 784 
15.03.2019 9:24:56: Step 0: NtQueryInformationProcess(ProcHND, 0, @PBI, SizeOf(PBI), nil) is fail 784 
15.03.2019 9:24:56: Step 0: NtQueryInformationProcess(ProcHND, 0, @PBI, SizeOf(PBI), nil) is fail 784 
15.03.2019 9:24:56: Step 0: NtQueryInformationProcess(ProcHND, 0, @PBI, SizeOf(PBI), nil) is fail 784 
15.03.2019 9:24:56: Step 0: NtQueryInformationProcess(ProcHND, 0, @PBI, SizeOf(PBI), nil) is fail 784 
15.03.2019 9:24:56: Step 0: NtQueryInformationProcess(ProcHND, 0, @PBI, SizeOf(PBI), nil) is fail 784 
15.03.2019 9:24:56: Step 0: NtQueryInformationProcess(ProcHND, 0, @PBI, SizeOf(PBI), nil) is fail 784 
15.03.2019 9:24:56: Step 0: NtQueryInformationProcess(ProcHND, 0, @PBI, SizeOf(PBI), nil) is fail 784 
15.03.2019 9:24:56: Step 0: NtQueryInformationProcess(ProcHND, 0, @PBI, SizeOf(PBI), nil) is fail 784 
15.03.2019 9:24:56: Step 0: NtQueryInformationProcess(ProcHND, 0, @PBI, SizeOf(PBI), nil) is fail 784 
15.03.2019 9:24:56: Step 0: NtQueryInformationProcess(ProcHND, 0, @PBI, SizeOf(PBI), nil) is fail 784 
15.03.2019 9:24:56: Step 0: NtQueryInformationProcess(ProcHND, 0, @PBI, SizeOf(PBI), nil) is fail 784 
15.03.2019 9:24:56: Step 0: NtQueryInformationProcess(ProcHND, 0, @PBI, SizeOf(PBI), nil) is fail 784 
15.03.2019 9:24:56: Step 0: NtQueryInformationProcess(ProcHND, 0, @PBI, SizeOf(PBI), nil) is fail 784 
15.03.2019 9:24:56: Step 0: NtQueryInformationProcess(ProcHND, 0, @PBI, SizeOf(PBI), nil) is fail 784 
15.03.2019 9:24:56: Step 0: NtQueryInformationProcess(ProcHND, 0, @PBI, SizeOf(PBI), nil) is fail 784 
15.03.2019 9:24:56: Step 0: NtQueryInformationProcess(ProcHND, 0, @PBI, SizeOf(PBI), nil) is fail 784 
15.03.2019 9:24:56: Step 0: NtQueryInformationProcess(ProcHND, 0, @PBI, SizeOf(PBI), nil) is fail 784 
15.03.2019 9:24:56: Step 0: NtQueryInformationProcess(ProcHND, 0, @PBI, SizeOf(PBI), nil) is fail 784 
15.03.2019 9:24:56: Step 0: NtQueryInformationProcess(ProcHND, 0, @PBI, SizeOf(PBI), nil) is fail 784 
15.03.2019 9:24:56: Step 0: NtQueryInformationProcess(ProcHND, 0, @PBI, SizeOf(PBI), nil) is fail 784 
15.03.2019 9:24:56: Step 0: NtQueryInformationProcess(ProcHND, 0, @PBI, SizeOf(PBI), nil) is fail 784 
15.03.2019 9:24:56: Step 0: NtQueryInformationProcess(ProcHND, 0, @PBI, SizeOf(PBI), nil) is fail 784 
15.03.2019 9:24:56: Step 0: NtQueryInformationProcess(ProcHND, 0, @PBI, SizeOf(PBI), nil) is fail 784 
15.03.2019 9:24:56: Step 0: NtQueryInformationProcess(ProcHND, 0, @PBI, SizeOf(PBI), nil) is fail 784 
15.03.2019 9:24:56: Step 0: NtQueryInformationProcess(ProcHND, 0, @PBI, SizeOf(PBI), nil) is fail 784 
15.03.2019 9:24:56: Step 0: NtQueryInformationProcess(ProcHND, 0, @PBI, SizeOf(PBI), nil) is fail 784 
15.03.2019 9:24:56: Step 0: NtQueryInformationProcess(ProcHND, 0, @PBI, SizeOf(PBI), nil) is fail 784 
15.03.2019 9:24:56: Step 0: NtQueryInformationProcess(ProcHND, 0, @PBI, SizeOf(PBI), nil) is fail 784 
15.03.2019 9:24:56: Step 0: NtQueryInformationProcess(ProcHND, 0, @PBI, SizeOf(PBI), nil) is fail 784 
15.03.2019 9:24:56: Step 0: NtQueryInformationProcess(ProcHND, 0, @PBI, SizeOf(PBI), nil) is fail 784 
15.03.2019 9:24:56: Step 0: NtQueryInformationProcess(ProcHND, 0, @PBI, SizeOf(PBI), nil) is fail 784 
15.03.2019 9:24:56: Step 0: NtQueryInformationProcess(ProcHND, 0, @PBI, SizeOf(PBI), nil) is fail 784 
15.03.2019 9:24:56: Step 0: NtQueryInformationProcess(ProcHND, 0, @PBI, SizeOf(PBI), nil) is fail 784 
15.03.2019 9:24:56: Step 0: NtQueryInformationProcess(ProcHND, 0, @PBI, SizeOf(PBI), nil) is fail 784 
15.03.2019 9:24:56: Step 0: NtQueryInformationProcess(ProcHND, 0, @PBI, SizeOf(PBI), nil) is fail 784 
15.03.2019 9:24:56: Step 0: NtQueryInformationProcess(ProcHND, 0, @PBI, SizeOf(PBI), nil) is fail 784 
15.03.2019 9:24:56: Step 0: NtQueryInformationProcess(ProcHND, 0, @PBI, SizeOf(PBI), nil) is fail 784 
15.03.2019 9:24:56: Step 0: NtQueryInformationProcess(ProcHND, 0, @PBI, SizeOf(PBI), nil) is fail 784 
15.03.2019 9:24:56: Step 0: NtQueryInformationProcess(ProcHND, 0, @PBI, SizeOf(PBI), nil) is fail 784 
15.03.2019 9:24:56: Step 0: NtQueryInformationProcess(ProcHND, 0, @PBI, SizeOf(PBI), nil) is fail 784 
